,Sent,Noun1,Preposition,Noun2
0," Ms Shinen explained that her views would be biased towards water, given that she is a member of the DOSs Water Team.",member,of,Team
1,"With respect to water, she felt that the major challenges in the Mekong were the very rapid pace of development; hydropower development; and a lack of coordination.",respect,to,water
2,"With respect to water, she felt that the major challenges in the Mekong were the very rapid pace of development; hydropower development; and a lack of coordination.",challenges,in,Mekong
3,"With respect to water, she felt that the major challenges in the Mekong were the very rapid pace of development; hydropower development; and a lack of coordination.",pace,of,development
4,"With respect to water, she felt that the major challenges in the Mekong were the very rapid pace of development; hydropower development; and a lack of coordination.",lack,of,coordination
5,"She also raised concern around the profusion of cooperation platforms in the region which, she said, are a hindrance to effective cooperation and coordination between the Mekong countries.",concern,around,profusion
6,"She also raised concern around the profusion of cooperation platforms in the region which, she said, are a hindrance to effective cooperation and coordination between the Mekong countries.",profusion,of,platforms
7,"She also raised concern around the profusion of cooperation platforms in the region which, she said, are a hindrance to effective cooperation and coordination between the Mekong countries.",profusion,in,region
8,"She also raised concern around the profusion of cooperation platforms in the region which, she said, are a hindrance to effective cooperation and coordination between the Mekong countries.",cooperation,between,countries
9,There are major challenges all around natural resources management in the basin.,challenges,around,management
10,There are major challenges all around natural resources management in the basin.,management,in,basin
11,"As a consequence, Ms Shinen felt that the introduction of a new cooperation mechanism was not the answer.",introduction,of,new mechanism
12,"She suggested that WB make a detailed investigation of existing mechanisms to see what does or does not work, and then use its leverage to strengthen or improve these.",investigation,of,mechanisms
13,There is lack of coherent coordination between cooperative mechanisms.,lack,of,coherent coordination
14,There is lack of coherent coordination between cooperative mechanisms.,coordination,between,cooperative mechanisms
15,"Stronger leadership is required, along with coordination from development partners , rather than creating a new platform.",coordination,from,partners
16,"DOS, she said, monitors events in the Mekong through a political lens, looking for what they call conservation crimes.",events,in,Mekong
17,"DOS, she said, monitors events in the Mekong through a political lens, looking for what they call conservation crimes.",events,through,political lens
18,"She summarised the DOSs engagement with a variety of international NGOs, including IUCN, WWF and Conservation International.",variety,of,international NGOs
19,"The latter is a strong concern for Cambodia, which has been heavily reliant on the Mekong for its fish.",concern,for,Cambodia
20, USAID has a focus on transboundary environmental issues the challenges that cannot be addressed by one country alone.,focus,on,transboundary environmental issues
21,Unsustainable extraction and use of natural resources from across the region endangers economic growth.,extraction,of,natural resources
22,Unsustainable extraction and use of natural resources from across the region endangers economic growth.,extraction,from,
23,"Amongst the challenges that Ms Hogg mentioned hydropower, forests, sand mining, and impacts on the flood pulse, unintended consequences and lack of shared management enabling equal opportunities for riparians to meet development objectives.",impacts,on,pulse
24,"Amongst the challenges that Ms Hogg mentioned hydropower, forests, sand mining, and impacts on the flood pulse, unintended consequences and lack of shared management enabling equal opportunities for riparians to meet development objectives.",lack,of,shared management
25,USAID has also been looking at the potentials of low head dams.,potentials,of,low dams
26,"We are concerned with a lot of the infrastructure they are not against it, but would want transparent data platforms that all stakeholders can access.",lot,of,infrastructure
27,"She feels that the most complete data possible is needed, and regional spaces for where data can be shared.",spaces,for,
28,There is asymmetric information availability on floods and droughts.,availability,on,floods
29,There is insufficient inclusion of civil society in dialogues.,inclusion,of,civil society
30,There is insufficient inclusion of civil society in dialogues.,society,in,dialogues
31,John Ward  asks a question about the capacity to analyse data beyond just data gathering.,question,about,capacity
32,Ms Hogg mentions SERVIR Mekong as an example of USAID supported initiatives in this respect.,example,of,USAID
33,Ms Hogg mentions SERVIR Mekong as an example of USAID supported initiatives in this respect.,initiatives,in,respect
34,"She said that it can reveal the impacts of infrastructure, and can help countries to decide which infrastructure should be developed.",impacts,of,infrastructure
35,"Ms Hogg mentions that they have recently signed an agreement with WWF that will look to support civil society to access data, and use it to gain influence.",agreement,with,WWF
36,"In Laos, weak rule of law, and an absent civil society.",rule,of,law
37,"Weak governance can play into the hands of many, but Mr Imboden is thinking particularly about the PRC.",hands,of,
38,": There is a lot of geo political competition, which provides the opportunity to connect with a wide range of multilateral partners.",lot,of,political competition
39,": There is a lot of geo political competition, which provides the opportunity to connect with a wide range of multilateral partners.",range,of,multilateral partners
40,Differences between countries.,Differences,between,countries
41,"In Laos, the rule of law is weak, so water is vulnerable to capture by internal and external elites.",rule,of,law
42,Geopolitics overlay a variety of technical sustainable development issues.,variety,of,technical sustainable issues
43,"He adds, servicing, navigating and negotiating the 13 frameworks is a challenge to sustainable development.",challenge,to,sustainable development
44,The water levels on the Mekong  have been a huge challenge to sustainable development.,levels,on,Mekong
