Noun1,Noun1
%,1
Decisions,1
Differences,1
Inclusion,1
Lack,1
Management,1
Representatives,1
access,1
agreement,3
agreements,1
amounts,3
analysis,1
application,1
areas,1
arms,1
availability,1
basis,1
bottom,1
causes,1
challenge,5
challenges,2
change,2
changes,2
claims,1
climate,1
communication,3
competition,3
concern,2
concerns,2
connectivity,1
consultation,3
cooperation,1
coordination,5
council,1
countries,3
creation,1
cuts,1
dams,1
date,1
deal,1
decisions,1
delays,2
demand,5
deterioration,1
development,5
dialogue,1
disconnect,1
distribution,4
diversity,1
driver,1
duplications,1
events,2
example,3
extraction,2
extremes,1
field,1
focus,2
focusses,2
framework,1
gaps,1
geography,1
hands,2
history,1
hydropower,2
imbalance,1
impact,1
impacts,9
implementation,1
inclusion,1
information,1
initiative,1
initiatives,1
instruments,1
interest,2
introduction,1
intrusion,1
investigation,1
investments,1
issues,3
knock,1
lack,11
level,1
levels,1
limits,2
link,1
look,2
losses,1
lot,5
lots,4
lowflow,1
magnitude,1
mainstream,1
making,1
management,1
member,1
need,1
pace,1
pandemic,1
participation,1
people,2
plan,1
plans,1
plenty,1
point,1
polarisation,1
population,1
potentials,1
power,1
preparation,1
problem,2
problems,3
profusion,2
protection,2
quality,2
question,2
questions,2
range,1
rate,1
reductions,1
reflection,1
relation,2
relations,3
reliance,1
report,1
reporting,1
resources,2
respect,3
responsibility,1
rest,1
right,1
rights,1
risks,1
rule,3
rules,1
run,2
series,1
set,1
sets,3
slice,1
society,1
source,1
space,1
spaces,1
stability,1
standards,1
structure,1
subsidence,1
terms,2
top,1
tracks,1
types,1
uncertainty,1
understanding,2
unity,1
use,2
varies,1
variety,4
victims,1
way,2
whole,1
work,1
