,Answer,Sent
0,Answer1," Ms Shinen explained that her views would be biased towards water, given that she is a member of the DOSs Water Team."
1,Answer1,"With respect to water, she felt that the major challenges in the Mekong were the very rapid pace of development; hydropower development; and a lack of coordination."
2,Answer1,"She also raised concern around the profusion of cooperation platforms in the region which, she said, are a hindrance to effective cooperation and coordination between the Mekong countries."
3,Answer1,"Water issues are political issues as is natural resource management, typically decided at high level."
4,Answer1,There are major challenges all around natural resources management in the basin.
5,Answer1,"These have, she argued, been politicised, and there is currently no real development path going forwards."
6,Answer1,"As a consequence, Ms Shinen felt that the introduction of a new cooperation mechanism was not the answer."
7,Answer1,"She suggested that WB make a detailed investigation of existing mechanisms to see what does or does not work, and then use its leverage to strengthen or improve these."
8,Answer1,There is lack of coherent coordination between cooperative mechanisms.
9,Answer1,"Stronger leadership is required, along with coordination from development partners , rather than creating a new platform."
10,Answer1,"DOS, she said, monitors events in the Mekong through a political lens, looking for what they call conservation crimes."
11,Answer1,Actor consultation is also determined through a political lens.
12,Answer1,"She summarised the DOSs engagement with a variety of international NGOs, including IUCN, WWF and Conservation International."
13,Answer1,"ACMEC, the MRC and Friends of the Mekong and an ASEAN may be the best options and warrant further examination."
14,Answer1, The ecosystem and natural resources degradation.
15,Answer1,Deforestation has been very intense because of land concessions and illegal logging.
16,Answer1,This has contributed to climate change.
17,Answer1,Hydropower expansion is also a contributing factor.
18,Answer1,"The latter is a strong concern for Cambodia, which has been heavily reliant on the Mekong for its fish."
19,Answer1,"Also flash floods, reduced flood season affecting juvenile fish growth and periodic droughts."
20,Answer1,We also observe demographic growth and strong urbanisation trends .
21,Answer1,Mr Roussel was uncertain if agriculture would remain important for Cambodia.
22,Answer1,How to reverse all of this ecosystem degradation is the key issue.
23,Answer1, USAID has a focus on transboundary environmental issues the challenges that cannot be addressed by one country alone.
24,Answer1,Unsustainable extraction and use of natural resources from across the region endangers economic growth.
25,Answer1,The need for individual countries to propel their own economic growth forwards may make sense at the individual country level but not regionally.
26,Answer1,"Amongst the challenges that Ms Hogg mentioned hydropower, forests, sand mining, and impacts on the flood pulse, unintended consequences and lack of shared management enabling equal opportunities for riparians to meet development objectives."
27,Answer1,USAID has also been looking at the potentials of low head dams.
28,Answer1,"We are concerned with a lot of the infrastructure they are not against it, but would want transparent data platforms that all stakeholders can access."
29,Answer1,"She feels that the most complete data possible is needed, and regional spaces for where data can be shared."
30,Answer1,"There needs to be, in particular, data sharing between upstream and downstream countries."
31,Answer1,There is asymmetric information availability on floods and droughts.
32,Answer1,This puts individual countries at a disadvantage.
33,Answer1,There is insufficient inclusion of civil society in dialogues.
34,Answer1,"They want their platforms to be available to civil society to understand and debate trade offs as well as the private sector to address externalities, which can be very powerful."
35,Answer1,John Ward  asks a question about the capacity to analyse data beyond just data gathering.
36,Answer1,Ms Hogg mentions SERVIR Mekong as an example of USAID supported initiatives in this respect.
37,Answer1,"High quality data is needed, but she acknowledged that information overload could also be a problem."
38,Answer1,"The Mekong Infrastructure Tracker, an online platform  was introduced to stakeholders."
39,Answer1,"She said that it can reveal the impacts of infrastructure, and can help countries to decide which infrastructure should be developed."
40,Answer1,Ms Hogg described it as a planning tool.
41,Answer1,"Ms Hogg mentions that they have recently signed an agreement with WWF that will look to support civil society to access data, and use it to gain influence."
42,Answer1," Broadly, weak governance domestically."
43,Answer1,"In Laos, weak rule of law, and an absent civil society."
44,Answer1,This weak governance means that investments take precedence over the law.
